Nombre,Equipo,MP,FG,FGA,FG3,FG3A,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,G,PER
Deandre Ayton,Phoenix Suns,2116,430,687,4,20,133,173,228,499,99,41,81,103,196,997,69,23.0
Deividas Sirvydis,Detroit Pistons,132,14,40,10,28,3,6,0,29,5,2,0,5,9,41,20,8.07
Dejounte Murray,San Antonio Spurs,2140,441,974,63,199,106,134,58,415,363,101,7,117,135,1051,67,19.96
Delon Wright,Detroit Pistons,1052,136,293,31,89,71,90,37,127,181,58,19,48,45,374,36,19.19
Delon Wright,Sacramento Kings,699,104,225,33,83,30,36,28,77,97,43,11,35,30,271,27,18.78
Deni Avdija,Washington Wizards,1260,130,312,53,168,29,45,22,240,63,32,15,33,140,342,54,9.94
Dennis Schröder,Los Angeles Lakers,1958,332,760,71,212,206,243,30,181,351,70,13,163,159,942,61,16.91
Dennis Smith Jr.,Detroit Pistons,393,56,135,19,54,14,20,12,41,74,20,14,25,33,145,20,16.76
Dennis Smith Jr.,New York Knicks,28,2,10,0,4,5,6,0,2,3,3,0,1,4,9,3,8.75
Denzel Valentine,Chicago Bulls,1038,155,416,80,242,16,17,24,173,105,30,7,42,70,406,62,13.01
Derrick Favors,Utah Jazz,1036,155,243,0,2,59,80,138,238,44,32,68,36,143,369,68,21.85
Derrick Jones Jr.,Portland Trail Blazers,1318,147,304,43,136,59,91,77,128,47,37,54,32,127,396,58,13.32
Derrick Rose,Detroit Pistons,340,79,184,13,39,42,50,6,23,63,18,4,29,17,213,15,21.12
Derrick Rose,New York Knicks,937,208,427,37,90,68,77,14,87,146,31,15,49,39,521,35,21.39
Derrick White,San Antonio Spurs,1063,186,453,84,243,97,114,13,94,127,26,36,45,91,553,36,18.05
Desmond Bane,Memphis Grizzlies,1520,234,499,117,271,40,49,31,179,118,41,16,59,125,625,68,15.08
Devin Booker,Phoenix Suns,2271,623,1287,126,371,340,392,34,247,289,53,16,207,181,1712,67,23.39
Devin Cannady,Orlando Magic,74,11,28,6,16,6,7,0,5,1,5,1,2,9,34,8,13.58
Devin Vassell,San Antonio Spurs,1058,123,303,52,150,43,51,24,150,56,43,18,22,88,341,62,12.73
Devon Dotson,Chicago Bulls,50,11,21,1,7,0,0,2,3,7,4,0,0,3,23,11,22.68
Devontae Cacok,Los Angeles Lakers,98,17,29,0,0,5,11,12,20,1,5,4,5,8,39,20,19.62
Devonte' Graham,Charlotte Hornets,1659,252,669,179,477,133,158,22,126,295,48,6,84,77,816,55,18.21
Dewayne Dedmon,Miami Heat,210,46,65,1,5,20,27,28,58,12,9,6,13,36,113,16,27.73
Didi Louzada,New Orleans Pelicans,57,3,13,2,8,0,0,1,2,3,2,0,3,5,8,3,0.04
Dillon Brooks,Memphis Grizzlies,1997,432,1031,128,372,159,195,53,143,157,78,26,119,237,1151,67,15.7
Domantas Sabonis,Indiana Pacers,2231,484,904,52,162,240,328,150,592,415,76,33,213,203,1260,62,25.41
Donovan Mitchell,Utah Jazz,1771,478,1091,178,461,267,316,50,185,277,52,15,147,117,1401,53,25.7
Donta Hall,Orlando Magic,179,25,35,0,0,23,34,24,38,11,5,10,8,18,73,13,24.66
Donte DiVincenzo,Milwaukee Bucks,1814,253,603,131,346,51,71,81,299,203,72,15,91,112,688,66,16.01
Dorian Finney-Smith,Dallas Mavericks,1921,220,466,119,302,31,41,98,228,102,52,25,48,138,590,60,13.65
Doug McDermott,Indiana Pacers,1617,354,665,111,286,80,98,60,161,85,20,6,53,117,899,66,19.46
Draymond Green,Golden State Warriors,1981,170,380,34,126,70,88,55,394,558,105,52,188,194,444,63,16.45
Drew Eubanks,San Antonio Spurs,757,116,205,2,2,77,106,74,167,42,18,49,45,88,311,54,20.31
Duncan Robinson,Miami Heat,2261,315,717,250,613,62,75,7,243,127,43,20,81,181,942,72,13.61
Dwayne Bacon,Orlando Magic,1854,292,726,59,207,145,176,31,193,93,45,5,46,103,788,72,12.38
Dwight Howard,Philadelphia 76ers,1190,178,303,5,20,121,210,190,390,61,30,62,112,200,482,69,20.51
Dwight Powell,Dallas Mavericks,965,120,194,5,21,97,124,80,154,63,36,30,40,135,342,58,18.54
Dylan Windler,Cleveland Cavaliers,515,57,130,26,77,21,27,20,87,33,19,12,32,37,161,31,12.79
Dāvis Bertāns,Washington Wizards,1460,193,478,169,428,100,115,18,150,49,33,13,33,136,655,57,14.61
E'Twaun Moore,Phoenix Suns,389,55,121,11,35,12,14,14,31,40,15,5,23,32,133,27,12.43
Ed Davis,Minnesota Timberwolves,298,19,44,0,0,10,12,46,69,21,13,13,7,56,48,23,15.09
Edmond Sumner,Indiana Pacers,859,148,282,35,88,68,83,18,76,49,33,10,51,88,399,53,15.82
Elfrid Payton,New York Knicks,1486,269,622,28,98,73,107,64,152,203,47,9,103,116,639,63,13.85
Elijah Bryant,Milwaukee Bucks,32,6,13,1,5,3,3,2,4,3,0,1,4,4,16,1,13.42
Elijah Hughes,Utah Jazz,65,10,30,8,23,3,4,1,8,6,1,1,6,1,31,18,11.19
Enes Freedom,Portland Trail Blazers,1760,339,561,1,4,127,164,284,511,84,33,48,78,168,806,72,24.89
Eric Bledsoe,New Orleans Pelicans,2108,307,730,121,355,134,195,29,215,268,55,24,114,112,869,71,14.49
Eric Gordon,Houston Rockets,790,159,367,69,210,94,114,8,50,71,14,13,51,44,481,27,18.17
Eric Paschall,Golden State Warriors,697,148,298,18,54,67,94,28,100,51,12,7,43,68,381,40,17.41
Ersan İlyasova,Utah Jazz,145,21,54,18,41,5,5,7,22,4,10,3,8,29,65,17,14.76
Evan Fournier,Boston Celtics,474,77,172,44,95,10,14,5,48,49,20,10,19,41,208,16,16.67
Evan Fournier,Orlando Magic,786,170,369,73,188,98,123,5,70,95,27,9,54,55,511,26,21.81
Facundo Campazzo,Denver Nuggets,1424,120,315,76,216,80,91,22,112,232,79,14,73,132,396,65,13.54
Frank Jackson,Detroit Pistons,739,134,293,61,150,61,75,15,71,36,15,1,34,53,390,40,16.24
